state_abv,county,family,total_budget_avg,asian_hourly,white_hourly,black_hourly,hispanic_hourly
AK,Aleutians East Borough,1p0c,50352.0,29.87,25.97,20.11,19.93
AK,Aleutians East Borough,1p1c,79092.0,29.87,25.97,20.11,19.93
AK,Aleutians East Borough,1p2c,101604.0,29.87,25.97,20.11,19.93
AK,Aleutians East Borough,1p3c,123264.0,29.87,25.97,20.11,19.93
AK,Aleutians East Borough,1p4c,137460.0,29.87,25.97,20.11,19.93
AK,Aleutians East Borough,2p0c,68088.0,29.87,25.97,20.11,19.93
AK,Aleutians East Borough,2p1c,93408.0,29.87,25.97,20.11,19.93
AK,Aleutians East Borough,2p2c,113436.0,29.87,25.97,20.11,19.93
AK,Aleutians East Borough,2p3c,133860.0,29.87,25.97,20.11,19.93
AK,Aleutians East Borough,2p4c,148152.0,29.87,25.97,20.11,19.93
AK,Aleutians West Census Area,1p0c,53976.0,29.87,25.97,20.11,19.93
AK,Aleutians West Census Area,1p1c,85932.0,29.87,25.97,20.11,19.93
AK,Aleutians West Census Area,1p2c,109332.0,29.87,25.97,20.11,19.93
AK,Aleutians West Census Area,1p3c,133668.0,29.87,25.97,20.11,19.93
AK,Aleutians West Census Area,1p4c,146292.0,29.87,25.97,20.11,19.93
AK,Aleutians West Census Area,2p0c,69576.0,29.87,25.97,20.11,19.93
AK,Aleutians West Census Area,2p1c,98304.0,29.87,25.97,20.11,19.93
AK,Aleutians West Census Area,2p2c,120036.0,29.87,25.97,20.11,19.93
AK,Aleutians West Census Area,2p3c,142548.0,29.87,25.97,20.11,19.93
AK,Aleutians West Census Area,2p4c,156312.0,29.87,25.97,20.11,19.93
AK,Anchorage Municipality,1p0c,47712.0,29.87,25.97,20.11,19.93
AK,Anchorage Municipality,1p1c,79392.0,29.87,25.97,20.11,19.93
AK,Anchorage Municipality,1p2c,106308.0,29.87,25.97,20.11,19.93
AK,Anchorage Municipality,1p3c,135984.0,29.87,25.97,20.11,19.93
AK,Anchorage Municipality,1p4c,147924.0,29.87,25.97,20.11,19.93
AK,Anchorage Municipality,2p0c,65028.0,29.87,25.97,20.11,19.93
AK,Anchorage Municipality,2p1c,93108.0,29.87,25.97,20.11,19.93
AK,Anchorage Municipality,2p2c,118212.0,29.87,25.97,20.11,19.93
AK,Anchorage Municipality,2p3c,145020.0,29.87,25.97,20.11,19.93
AK,Anchorage Municipality,2p4c,158004.0,29.87,25.97,20.11,19.93
AK,Bethel Census Area,1p0c,56496.0,29.87,25.97,20.11,19.93
AK,Bethel Census Area,1p1c,86268.0,29.87,25.97,20.11,19.93
AK,Bethel Census Area,1p2c,110844.0,29.87,25.97,20.11,19.93
AK,Bethel Census Area,1p3c,136320.0,29.87,25.97,20.11,19.93
AK,Bethel Census Area,1p4c,149412.0,29.87,25.97,20.11,19.93
AK,Bethel Census Area,2p0c,71328.0,29.87,25.97,20.11,19.93
AK,Bethel Census Area,2p1c,100176.0,29.87,25.97,20.11,19.93
AK,Bethel Census Area,2p2c,122976.0,29.87,25.97,20.11,19.93
AK,Bethel Census Area,2p3c,146340.0,29.87,25.97,20.11,19.93
AK,Bethel Census Area,2p4c,160704.0,29.87,25.97,20.11,19.93
AK,Bristol Bay Borough,1p0c,49956.0,29.87,25.97,20.11,19.93
AK,Bristol Bay Borough,1p1c,78300.0,29.87,25.97,20.11,19.93
AK,Bristol Bay Borough,1p2c,101112.0,29.87,25.97,20.11,19.93
AK,Bristol Bay Borough,1p3c,128436.0,29.87,25.97,20.11,19.93
AK,Bristol Bay Borough,1p4c,142080.0,29.87,25.97,20.11,19.93
AK,Bristol Bay Borough,2p0c,68700.0,29.87,25.97,20.11,19.93
AK,Bristol Bay Borough,2p1c,93636.0,29.87,25.97,20.11,19.93
AK,Bristol Bay Borough,2p2c,114780.0,29.87,25.97,20.11,19.93
AK,Bristol Bay Borough,2p3c,138828.0,29.87,25.97,20.11,19.93
AK,Bristol Bay Borough,2p4c,153288.0,29.87,25.97,20.11,19.93
AK,Chugach Census Area,1p0c,45396.0,29.87,25.97,20.11,19.93
AK,Chugach Census Area,1p1c,71292.0,29.87,25.97,20.11,19.93
AK,Chugach Census Area,1p2c,91200.0,29.87,25.97,20.11,19.93
AK,Chugach Census Area,1p3c,114504.0,29.87,25.97,20.11,19.93
